state,loss_type,period,count
KS,ROBBERY,JAN-SEP 2022,0
KY,BREAK-IN/BURGLARY,JAN-SEP 2022,0
KY,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
KY,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,2
KY,LOSS IN TRANSIT,JAN-SEP 2022,1
KY,PACKAGING DISCREPANCY,JAN-SEP 2022,4
LA,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,0
MA,LOSS IN TRANSIT,JAN-SEP 2022,2
MA,PACKAGING DISCREPANCY,JAN-SEP 2022,0
MD,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
MD,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,2
MD,LOSS IN TRANSIT,JAN-SEP 2022,0
MD,ROBBERY,JAN-SEP 2022,2
MI,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
MI,LOSS IN TRANSIT,JAN-SEP 2022,3
MI,PACKAGING DISCREPANCY,JAN-SEP 2022,3
MN,BREAK-IN/BURGLARY,JAN-SEP 2022,0
MN,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
MN,LOSS IN TRANSIT,JAN-SEP 2022,1
MN,PACKAGING DISCREPANCY,JAN-SEP 2022,0
MO,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,1
MO,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
MO,LOSS IN TRANSIT,JAN-SEP 2022,8
MO,PACKAGING DISCREPANCY,JAN-SEP 2022,0
MS,LOSS IN TRANSIT,JAN-SEP 2022,3
MS,PACKAGING DISCREPANCY,JAN-SEP 2022,1
MT,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
NC,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,2
NC,LOSS IN TRANSIT,JAN-SEP 2022,0
NC,ROBBERY,JAN-SEP 2022,0
NE,LOSS IN TRANSIT,JAN-SEP 2022,0
NH,LOSS IN TRANSIT,JAN-SEP 2022,0
NJ,BREAK-IN/BURGLARY,JAN-SEP 2022,0
NJ,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
NJ,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
NJ,LOSS IN TRANSIT,JAN-SEP 2022,5
NJ,PACKAGING DISCREPANCY,JAN-SEP 2022,1
NM,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
NM,LOSS IN TRANSIT,JAN-SEP 2022,1
NM,ROBBERY,JAN-SEP 2022,0
NV,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
NV,LOSS IN TRANSIT,JAN-SEP 2022,1
NY,BREAK-IN/BURGLARY,JAN-SEP 2022,1
NY,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
NY,LOSS IN TRANSIT,JAN-SEP 2022,2
NY,PACKAGING DISCREPANCY,JAN-SEP 2022,7
NY,ROBBERY,JAN-SEP 2022,0
OH,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
OH,PACKAGING DISCREPANCY,JAN-SEP 2022,1
OK,LOSS IN TRANSIT,JAN-SEP 2022,4
OK,ROBBERY,JAN-SEP 2022,0
OR,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
OR,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
OR,LOSS IN TRANSIT,JAN-SEP 2022,1
OR,PACKAGING DISCREPANCY,JAN-SEP 2022,5
PA,BREAK-IN/BURGLARY,JAN-SEP 2022,0
PA,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
PA,LOSS IN TRANSIT,JAN-SEP 2022,11
PA,PACKAGING DISCREPANCY,JAN-SEP 2022,3
PR,LOSS IN TRANSIT,JAN-SEP 2022,0
PR,PACKAGING DISCREPANCY,JAN-SEP 2022,0
RI,LOSS IN TRANSIT,JAN-SEP 2022,13
RI,PACKAGING DISCREPANCY,JAN-SEP 2022,1
SC,BREAK-IN/BURGLARY,JAN-SEP 2022,0
SC,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,1
SC,"DISASTER (FIRE, WEATHER, ETC.)",JAN-SEP 2022,0
SC,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
SC,LOSS IN TRANSIT,JAN-SEP 2022,0
SC,PACKAGING DISCREPANCY,JAN-SEP 2022,0
SD,BREAK-IN/BURGLARY,JAN-SEP 2022,0
TN,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
